season,week,game_id,posteam,defteam,play_type,down,ydstogo,yardline_100,yards_gained,touchdown,pass_attempt,rush_attempt,epa,success,passer_player_name,rusher_player_name,receiver_player_name
2024,1,2024_01_GB_PHI,PHI,GB,run,1.0,10.0,19.0,2.0,0.0,0.0,1.0,-0.6631428818800487,0.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,pass,2.0,8.0,17.0,11.0,0.0,1.0,0.0,1.488212925964035,1.0,J.Hurts,,D.Smith
2024,1,2024_01_GB_PHI,PHI,GB,run,1.0,6.0,6.0,2.0,0.0,0.0,1.0,-0.42995825392426923,0.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,run,2.0,4.0,4.0,3.0,0.0,0.0,1.0,0.22125474666245282,1.0,,S.Barkley,
2024,1,2024_01_GB_PHI,PHI,GB,run,3.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.940797960675674,0.0,,J.Hurts,
2024,1,2024_01_GB_PHI,PHI,GB,field_goal,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.03731712407793708,1.0,,,
2024,2,2024_02_ATL_PHI,PHI,ATL,kickoff,,0.0,35.0,0.0,0.0,0.0,0.0,0.5349092418327928,1.0,,,
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,1.0,10.0,67.0,15.0,0.0,1.0,0.0,0.9604477696120739,1.0,J.Hurts,,G.Calcaterra
2024,2,2024_02_ATL_PHI,PHI,ATL,no_play,1.0,10.0,52.0,0.0,0.0,0.0,0.0,-0.5459852442145348,0.0,,,
2024,2,2024_02_ATL_PHI,PHI,ATL,run,1.0,15.0,57.0,1.0,0.0,0.0,1.0,-0.5113419401459396,0.0,,J.Hurts,
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,2.0,14.0,56.0,4.0,0.0,1.0,0.0,-0.3025491388980299,0.0,J.Hurts,,B.Covey
2024,2,2024_02_ATL_PHI,PHI,ATL,run,3.0,10.0,52.0,4.0,0.0,0.0,1.0,-1.4086196280550212,0.0,,J.Hurts,
2024,2,2024_02_ATL_PHI,PHI,ATL,punt,4.0,6.0,48.0,0.0,0.0,0.0,0.0,0.2068769414909184,1.0,,,
2024,2,2024_02_ATL_PHI,PHI,ATL,run,1.0,10.0,64.0,9.0,0.0,0.0,1.0,0.7740435285959393,1.0,,S.Barkley,
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,2.0,1.0,55.0,6.0,0.0,1.0,0.0,0.10737341828644276,1.0,J.Hurts,,J.Dotson
2024,2,2024_02_ATL_PHI,PHI,ATL,run,1.0,10.0,49.0,9.0,0.0,0.0,1.0,0.6767322395462543,1.0,,S.Barkley,
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,2.0,1.0,40.0,4.0,0.0,1.0,0.0,0.110671755974181,1.0,J.Hurts,,G.Calcaterra
2024,2,2024_02_ATL_PHI,PHI,ATL,run,1.0,10.0,36.0,10.0,0.0,0.0,1.0,0.666812697891146,1.0,,S.Barkley,
2024,2,2024_02_ATL_PHI,PHI,ATL,run,1.0,10.0,26.0,11.0,0.0,0.0,1.0,0.6514096898026764,1.0,,S.Barkley,
2024,2,2024_02_ATL_PHI,PHI,ATL,run,1.0,10.0,15.0,4.0,0.0,0.0,1.0,-0.24866595020284876,0.0,,K.Gainwell,
2024,2,2024_02_ATL_PHI,PHI,ATL,run,2.0,6.0,11.0,2.0,0.0,0.0,1.0,-0.43896266899537295,0.0,,K.Gainwell,
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,3.0,4.0,9.0,0.0,0.0,1.0,0.0,-1.5467957780347206,0.0,J.Hurts,,J.Wilson
2024,2,2024_02_ATL_PHI,PHI,ATL,pass,4.0,4.0,9.0,0.0,0.0,1.0,0.0,-3.0983947658678517,0.0,J.Hurts,,D.Goedert
